Anio,Categoria,Pais,Genero,Edad,Sexo
2017,Aficionado,Colombia,Documental,24.0,Masculino
2017,Aficionado,Colombia,Terror,31.0,Femenino
2017,Aficionado,Colombia,Comedia,21.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Terror,35.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Femenino
2017,Aficionado,Colombia,Documental,29.0,Masculino
2017,Aficionado,Colombia,Ficcion,25.0,Masculino
2017,Aficionado,Colombia,Drama,35.0,Masculino
2017,Aficionado,Colombia,Drama,32.0,Masculino
2017,Aficionado,Colombia,Suspenso,30.0,Masculino
2017,Aficionado,Colombia,Documental,24.0,Masculino
2017,Aficionado,Colombia,Drama,31.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Suspenso,25.0,Masculino
2017,Aficionado,Colombia,Ficcion,20.0,Masculino
2017,Aficionado,Colombia,Comedia,48.0,Masculino
2017,Aficionado,Colombia,Ficcion,39.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Suspenso,18.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Femenino
2017,Aficionado,Colombia,Documental,24.0,Masculino
2017,Aficionado,Colombia,Ficcion,21.0,Masculino
2017,Aficionado,Colombia,Suspenso,32.0,Masculino
2017,Aficionado,Colombia,Suspenso,39.0,Masculino
2017,Aficionado,Colombia,Suspenso,33.0,Masculino
2017,Aficionado,Colombia,Terror,21.0,Masculino
2017,Aficionado,Colombia,Accion,25.0,Masculino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Comedia,24.0,Masculino
2017,Aficionado,Colombia,Suspenso,34.0,Masculino
2017,Aficionado,Colombia,Comedia,24.0,Femenino
2017,Aficionado,Colombia,Documental,33.0,Masculino
2017,Aficionado,Colombia,Suspenso,23.0,Masculino
2017,Aficionado,Colombia,Suspenso,39.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Drama,28.0,Masculino
2017,Aficionado,Colombia,Ficcion,22.0,Femenino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Suspenso,23.0,Masculino
2017,Aficionado,Colombia,Comedia,21.0,Masculino
2017,Aficionado,Colombia,Ficcion,33.0,Femenino
2017,Aficionado,Colombia,Drama,36.0,Masculino
2017,Aficionado,Extranjero,Drama,24.0,Masculino
2017,Aficionado,Colombia,Accion,18.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Masculino
2017,Aficionado,Colombia,Ficcion,19.0,Masculino
2017,Aficionado,Colombia,Comedia,42.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Comedia,38.0,Masculino
2017,Aficionado,Colombia,Comedia,22.0,Masculino
2017,Aficionado,Colombia,Documental,18.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Femenino
2017,Aficionado,Colombia,Terror,28.0,Masculino
2017,Aficionado,Colombia,Ficcion,34.0,Masculino
2017,Aficionado,Colombia,Ficcion,40.0,Masculino
2017,Aficionado,Colombia,Suspenso,30.0,Masculino
2017,Aficionado,Colombia,Suspenso,22.0,Femenino
2017,Aficionado,Colombia,Ficcion,24.0,Masculino
2017,Aficionado,Colombia,Drama,29.0,Masculino
2017,Aficionado,Colombia,Drama,37.0,Masculino
2017,Aficionado,Colombia,Ficcion,27.0,Masculino
2017,Aficionado,Colombia,Drama,39.0,Masculino
2017,Aficionado,Colombia,Drama,28.0,Masculino
2017,Aficionado,Colombia,Ficcion,21.0,Masculino
2017,Aficionado,Colombia,Accion,25.0,Femenino
2017,Aficionado,Colombia,Ficcion,20.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Drama,23.0,Femenino
2017,Aficionado,Colombia,Documental,48.0,Masculino
2017,Aficionado,Colombia,Drama,45.0,Masculino
2017,Aficionado,Colombia,Drama,23.0,Masculino
2017,Aficionado,Colombia,Comedia,24.0,Femenino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Drama,50.0,Femenino
2017,Aficionado,Colombia,Suspenso,18.0,Masculino
2017,Aficionado,Colombia,Comedia,40.0,Femenino
2017,Aficionado,Extranjero,Comedia romantica,20.0,Masculino
2017,Aficionado,Colombia,Drama,30.0,Masculino
2017,Aficionado,Colombia,Drama,42.0,Femenino
2017,Aficionado,Colombia,Drama,36.0,Masculino
2017,Aficionado,Colombia,Suspenso,24.0,Masculino
2017,Aficionado,Colombia,Drama,38.0,Masculino
2017,Aficionado,Colombia,Comedia,43.0,Masculino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Suspenso,19.0,Femenino
2017,Aficionado,Colombia,Drama,25.0,Masculino
2017,Aficionado,Colombia,Drama,33.0,Masculino
2017,Aficionado,Colombia,Documental,46.0,Masculino
2017,Aficionado,Colombia,Ficcion,31.0,Femenino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Masculino
2017,Aficionado,Colombia,Ficcion,23.0,Femenino
2017,Aficionado,Colombia,Drama,43.0,Femenino
2017,Aficionado,Colombia,Drama,30.0,Masculino
2017,Aficionado,Colombia,Drama,29.0,Femenino
2017,Aficionado,Colombia,Documental,37.0,Masculino
2017,Aficionado,Colombia,Comedia romantica,35.0,Masculino
2017,Aficionado,Colombia,Accion,19.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Femenino
2017,Aficionado,Colombia,Drama,27.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,33.0,Masculino
2017,Aficionado,Colombia,Suspenso,41.0,Femenino
2017,Aficionado,Colombia,Suspenso,24.0,Masculino
2017,Aficionado,Colombia,Drama,38.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Femenino
2017,Aficionado,Colombia,Documental,21.0,Femenino
2017,Aficionado,Colombia,Ficcion,23.0,Masculino
2017,Aficionado,Colombia,Drama,30.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Femenino
2017,Aficionado,Colombia,Ficcion,25.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,21.0,Femenino
2017,Aficionado,Colombia,Drama,56.0,Masculino
2017,Aficionado,Colombia,Terror,26.0,Masculino
2017,Aficionado,Colombia,Documental,33.0,Masculino
2017,Aficionado,Colombia,Drama,28.0,Masculino
2017,Aficionado,Colombia,Drama,42.0,Masculino
2017,Aficionado,Colombia,Ficcion,25.0,Masculino
2017,Aficionado,Colombia,Documental,29.0,Masculino
2017,Aficionado,Colombia,Suspenso,23.0,Femenino
2017,Aficionado,Colombia,Ficcion,23.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Femenino
2017,Aficionado,Colombia,Ficcion,24.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Drama,24.0,Femenino
2017,Aficionado,Colombia,Drama,32.0,Masculino
2017,Aficionado,Colombia,Drama,29.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Drama,37.0,Masculino
2017,Aficionado,Colombia,Suspenso,25.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Masculino
2017,Aficionado,Colombia,Suspenso,41.0,Masculino
2017,Aficionado,Colombia,Documental,35.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Suspenso,21.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Terror,24.0,Masculino
2017,Aficionado,Colombia,Ficcion,27.0,Femenino
2017,Aficionado,Colombia,Ficcion,38.0,Masculino
2017,Aficionado,Colombia,Drama,31.0,Masculino
2017,Aficionado,Colombia,Drama,32.0,Masculino
2017,Aficionado,Colombia,Drama,42.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Femenino
2017,Aficionado,Colombia,Suspenso,18.0,Femenino
2017,Aficionado,Colombia,Comedia,47.0,Masculino
2017,Aficionado,Colombia,Drama,26.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Masculino
2017,Aficionado,Colombia,Drama,26.0,Masculino
2017,Aficionado,Colombia,Documental,55.0,Masculino
2017,Aficionado,Colombia,Drama,28.0,Femenino
2017,Aficionado,Colombia,Ficcion,21.0,Masculino
2017,Aficionado,Colombia,Drama,35.0,Masculino
2017,Aficionado,Colombia,Documental,23.0,Masculino
2017,Aficionado,Colombia,Comedia,28.0,Masculino
2017,Aficionado,Colombia,Drama,20.0,Femenino
2017,Aficionado,Extranjero,Drama,23.0,Masculino
2017,Aficionado,Colombia,Ficcion,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,23.0,Masculino
2017,Aficionado,Colombia,Suspenso,39.0,Masculino
2017,Aficionado,Colombia,Drama,29.0,Masculino
2017,Aficionado,Extranjero,Ficcion,32.0,Femenino
2017,Aficionado,Colombia,Drama,27.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Drama,46.0,Masculino
2017,Aficionado,Colombia,Drama,42.0,Masculino
2017,Aficionado,Colombia,Drama,23.0,Masculino
2017,Aficionado,Colombia,Suspenso,34.0,Masculino
2017,Aficionado,Colombia,Drama,51.0,Masculino
2017,Aficionado,Colombia,Drama,32.0,Masculino
