Año,Categoría,País,Género,Edad,Sexo
2017,Aficionado,Si,Ficción,39,Masculino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Suspenso,18,Masculino
2017,Aficionado,Si,Drama,19,Femenino
2017,Aficionado,Si,Documental,24,Masculino
2017,Aficionado,Si,Ficción,21,Masculino
2017,Aficionado,Si,Suspenso,32,Masculino
2017,Aficionado,Si,Suspenso,39,Masculino
2017,Aficionado,Si,Suspenso,33,Masculino
2017,Aficionado,Si,Terror,21,Masculino
2017,Aficionado,Si,Acción,25,Masculino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Comedia,24,Masculino
2017,Aficionado,Si,Suspenso,34,Masculino
2017,Aficionado,Si,Comedia,24,Femenino
2017,Aficionado,Si,Documental,33,Masculino
2017,Aficionado,Si,Suspenso,23,Masculino
2017,Aficionado,Si,Suspenso,39,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Ficción,22,Femenino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Suspenso,23,Masculino
2017,Aficionado,Si,Comedia,21,Masculino
2017,Aficionado,Si,Ficción,33,Femenino
2017,Aficionado,Si,Drama,36,Masculino
2017,Aficionado,No,Drama,24,Masculino
2017,Aficionado,Si,Acción,18,Masculino
2017,Aficionado,Si,Drama,24,Masculino
2017,Aficionado,Si,Ficción,19,Masculino
2017,Aficionado,Si,Comedia,42,Masculino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Comedia,38,Masculino
2017,Aficionado,Si,Comedia,22,Masculino
2017,Aficionado,Si,Documental,18,Masculino
2017,Aficionado,Si,Drama,21,Femenino
2017,Aficionado,Si,Terror,28,Masculino
2017,Aficionado,Si,Ficción,34,Masculino
2017,Aficionado,Si,Ficción,40,Masculino
2017,Aficionado,Si,Suspenso,30,Masculino
2017,Aficionado,Si,Suspenso,22,Femenino
2017,Aficionado,Si,Ficción,24,Masculino
2017,Aficionado,Si,Drama,29,Masculino
2017,Aficionado,Si,Drama,37,Masculino
2017,Aficionado,Si,Ficción,27,Masculino
2017,Aficionado,Si,Drama,39,Masculino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Ficción,21,Masculino
2017,Aficionado,Si,Acción,25,Femenino
2017,Aficionado,Si,Ficción,20,Masculino
2017,Aficionado,Si,Drama,33,Masculino
2017,Aficionado,Si,Drama,23,Femenino
2017,Aficionado,Si,Documental,48,Masculino
2017,Aficionado,Si,Drama,45,Masculino
2017,Aficionado,Si,Drama,23,Masculino
2017,Aficionado,Si,Comedia,24,Femenino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Drama,50,Femenino
2017,Aficionado,Si,Suspenso,18,Masculino
2017,Aficionado,Si,Comedia,40,Femenino
2017,Aficionado,No,Comedia romÍntica,20,Masculino
2017,Aficionado,Si,Drama,30,Masculino
2017,Aficionado,Si,Drama,42,Femenino
2017,Aficionado,Si,Drama,36,Masculino
2017,Aficionado,Si,Suspenso,24,Masculino
2017,Aficionado,Si,Drama,38,Masculino
2017,Aficionado,Si,Comedia,43,Masculino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Suspenso,19,Femenino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Drama,33,Masculino
2017,Aficionado,Si,Documental,46,Masculino
2017,Aficionado,Si,Ficción,31,Femenino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Drama,24,Masculino
