Categoria,Edad,Pais,Titulo,Genero,Duracion,Marca,Referencia,Dias,Marcas,Personas,Sinopsis,limpios
CRONICAS,40,Colombia,La paz a través del emprendimiento,Crónica,210,HTC,U11,1,,4,Un proyecto liderado por la Alcaldía de Tocancipá a través de la oficina de desarrollo económico.,proyect lider alcald tocancip traves oficin desarroll econom
CRONICAS,18,Colombia,La paz se construye,,180,Apple,iPhone 6,1,,7,Recopilación de testimonios de personas que pertenecen al proyecto a la Unidad Pedagógica,recopil testimoni person pertenec proyect unid pedagog
AFICIONADO,27,Colombia,La Pintura,Ficción,127,Huawei,P9 Lite,10,37.0,2,"Edwin decide regalarle a su novia una pintura que compro en una tienda de antigüedades, pero sin saberlo , esta pintura oculta un terrible misterio, que puede terminar acabando con sus vidas.",edwin decid regal novi pintur compr tiend antigüedad sab pintur ocult terribl misteri pued termin acab vid
FAMILIAR,40,Colombia,La Princesa Brillante,Comedia,226,Samsung,Samsung Galaxy S5,4,679.0,3,"Una niña sueña cada día con los cuentos que le lee su mamá para dormir, esta noche será el cuento de la princesa brillante la que la haga soñar con el poder de la luz sobre la oscuridad.  Ella se imagina como una princesa con el poder de iluminar todo a su alrededor, pero fuerzas oscuras provocarán un corte de energía que sacará a flote el miedo de la princesa y no le quedará más remedio que confiar en la valentía del caballero que viene a rescatarla.",niñ sueñ cad dia cuent lee mam dorm noch cuent princes brillant hag soñ pod luz oscur imagin princes pod ilumin alrededor fuerz oscur provoc cort energ sac flot mied princes qued remedi confi valent caballer vien rescat
JUVENIL,16,Colombia,La Selfie,Suspenso,263,Huawei,P8Lite,90,161.0,30,"Carol y Vanessa dos jóvenes amigas van a desestresarse a un toque de rock, ya que una de ellas sufre una pena amorosa..Durante el concierto, Vanessa sale al baño acompañada de su amiga Carol, quien la espera afuera..En el baño, Vanessa es asesinada por un bastardo obsesivo, el cual solo le interesa sentirse poderoso. Mientras tanto, Carol pasa el tiempo tomándose selfies, luego de un instante Carol decide volver al concierto sola..Finalmente el evento se acaba y Carol decide marcharse. .Ya en su casa, Carol ve la noticia del asesinato de su amiga mientras observa las selfies como prueba del asesinato.. Carol decide llamar a denunciar el asesinato, sin saber lo que le espera...",carol vaness dos joven amig van desestres toqu rock sufr pen amor conciert vaness sal bañ acompañ amig carol esper afuer bañ vaness asesin bastard obses sol interes sent poder mientr carol pas tiemp tom selfi lueg instant carol decid volv conciert sol final event acab carol decid march cas carol ve notici asesinat amig mientr observ selfi prueb asesinat carol decid llam denunci asesinat sab esper
PROFESIONAL,30,Colombia,La Tortuga de Plástico.,Ficción,300,Apple,Iphone 7 plus,120,150.0,12,Una pequeña tortuga habita muy feliz en su hogar el mar. Gracias a un aparatoso encuentro tendrá que luchar por sobrevivir y adaptarse a los cambios que la inconsciencia del hombre le produjeron.,pequeñ tortug habit feliz hog mar graci aparat encuentr luch sobreviv adapt cambi inconscient hombr produjeron
AFICIONADO,32,Colombia,La vida en sueño,Drama,281,Huawei,Y7 2017,13,,2,"Unos sueñan cambiar su futuro. .Otros con un mundo mejor..Los demás, para alterar su realidad...En un mundo egoísta, desigual y sin amor, algunos optan por alternativas para dar luz a su oscuridad.",sueñ cambi futur mund mejor demas alter realid mund egoist desigual amor optan altern dar luz oscur
AFICIONADO,23,Colombia,La Visita,Drama,299,Huawei,P9 Lite,30,289.0,13,"Carlos Diana y Daniel, unos jóvenes amigos universitarios llegan a un apartamento que arrendaron en Bogotá y desean llevar sus primeras pertenencias. Dentro del lugar, Daniel rompe la llave en la chapa dejando a los tres encerrados. Mientras llega la dueña en la tarde, los tres encuentran cada uno, una foto que les trae recuerdos de su pasado personal y los hace anhelar el encuentro con sus familias. En esta espera dialogan sobre ese pasado complejo que se encuentra permeado por el conflicto armado en Colombia. La dueña finalmente llega y les abre.",carl dian daniel joven amig universitari lleg apartament arrend bogot des llev primer pertenent dentr lug daniel romp llav chap dej tres encerr mientr lleg dueñ tard tres encuentr cad fot tra recuerd pas personal hac anhel encuentr famili esper dialog pas complej encuentr perm conflict armad colombi dueñ final lleg abre
CRONICAS,20,Colombia,La vocación de servir,Crónica,300,Apple,iphone 7 plus,3,0.0,3,"Diego Romero es un psicólogo social que ha trabajado mejorando las condiciones de vida de muchas comunidades del pais, el año pasado estuvo trabajando con la fundación Olán en Putumayo con niños de primera infancia .Este año está desarrollando investigación social con mujeres en Arauca en temas de cancer cuello uterino .Fue secretario de desarrollo  social en Chía donde transformó la vida de familias muy vulnerables desarrollando programas para incluir social y laboralmente a personas con discapacidad para atender las necesidades de abuelos jóvenes y grupos minoritarios como LGBTI e indigenas.",dieg romer psicolog social trabaj mejor condicion vid much comun pais año pas trabaj fundacion olan putumay niñ primer infanci año desarroll investig social mujer arauc tem canc cuell uterin secretari desarroll social chi transform vid famili vulner desarroll program inclu social laboral person discapac atend neces abuel joven grup minoritari lgbti indigen
AFICIONADO,18,Colombia,La Vuelta al Valle,Drama,300,Apple,iPhone 6,15,81.0,24,"Después de un trágico accidente, Jose se ve obligado a abandonar sus sueños de ser un gran ciclista. Años después, gracias al anuncio de una carrera en la que participará su idolo, Jose retoma su sueño y decide participar de La Vuelta al Valle.",despues tragic accident jos ve oblig abandon sueñ ser gran ciclist años despues graci anunci carrer particip idol jos retom sueñ decid particip vuelt vall
PROFESIONAL,36,Colombia,Las goticas de mamá,Ficción,299,Apple,Iphone X,15,60.0,15,"Frente a la droguería Cafam, Rubén (45) en su moto tipo Harley espera  a Susán (24) su novia, quien hace unas compras previas para viajar hacia el pueblo natal de Susán y así  visitar a su mamá y llevarle unas gotas para los ojos, que deben ir congeladas en una pequeña nevera. ..Junto a ella sale  El turco (25) un criminal de poca monta, quien también lleva una pequeña nevera, Juana (25) lo espera en una camioneta para llevar a su jefe un extraño paquete que está en la nevera. El turco queda impresionado con Susan quien junto a Ruben emprenden su camino en la moto...Juana se da cuenta que han intercambiado por accidente las neveras con Susan, deciden ir tras de Susan y Rubén para recuperar la suya y así entregarla a tiempo su jefe...La moto de Susan y Ruben avanza por una carretera, Juana y EL turco los siguen sigilosamente mientras su jefe los presiona mediante mensajes de voz para que le lleven su paquete pronto...En una parada de la moto en donde Susan se separa de Rubén para ir al baño y hablar con su mamá que se encuentra preocupada, EL Turco y Juana tratan de interceptar a Susan, pero su deseo es truncado por la presencia de un escolta que pregunta acerca de la moto a Rubén y los intimida...Todos llegan al pueblo de la mamá de Susan y terminan en una confusa e inesperada situación.",frent drogu cafam ruben 45 mot tip harley esper susan 24 novi hac unas compr previ viaj haci puebl natal susan asi visit mam llev unas got ojos deb ir congel pequeñ never junt sal turc 25 criminal poc mont llev pequeñ never juan 25 esper camionet llev jef extrañ paquet never turc qued impresion sus junt rub emprend camin mot juan da cuent intercambi accident never sus decid ir tras sus ruben recuper asi entreg tiemp jef mot sus rub avanz carreter juan turc sig sigil mientr jef presion mediant mensaj voz llev paquet pront par mot sus sep ruben ir bañ habl mam encuentr preocup turc juan trat intercept sus dese trunc presenci escolt pregunt acerc mot ruben intim lleg puebl mam sus termin confus inesper situacion
SMARTIC INCLUYENTE,46,Colombia,Las llaves,Comedia,299,Apple,iPhone 6 plus,1,,8,"Don Víctor sale de su casa muy apurado a una cita, olvidando sus llaves dentro de la casa.",don victor sal cas apur cit olvid llav dentr cas
CRONICAS,23,Colombia,LAS RESILIENTES,Crónica,305,Samsung,Galaxy j5 prime,5,,5,"La historia cuenta la vida de 3 mujeres víctimas del conflicto armado, quienes a través de la obra de teatro ''el Tente'' recrean la pérdida de sus familiares y así  han logrado superar el dolor y mostrar ejemplo de resiliencia.",histori cuent vid 3 mujer victim conflict armad traves obra teatr tent recr perd familiar asi logr super dolor mostr ejempl resilient
CRONICAS,39,Colombia,Las Rutas de la Reconciliación,Crónica,5,Apple,Iphone 5C,90,,10,Crónica en formato road-movie que desde las voces de actores sociales en las zonas de Espacios Territoriales de Reincorporación  visibiliza la construcción de paz como camino  y reivindica el sentido de lo humano de las personas que habitan estos territorios a partir de la formación en lenguaje audiovisual en smartphones como herramienta de transformación social.,cronic format road movi voc actor social zon espaci territorial reincorpor visibiliz construccion paz camin reivind human person habit territori part formacion lenguaj audiovisual smartphon herramient transform social
PROFESIONAL,34,Colombia,LAS SEÑORITAS DE DOÑA HERMINIA,Drama,300,Apple,IPHONE 7 PLUS,60,300.0,14,"A un poco mas de tres dias a pie, en medio de las montañas en algun lugar de Colombia vive Doña Herminia y sus dos hijas. En el exilio creado por su madre y sin jamás haber tenido contacto con el mundo exterior viven estas dos señoritas quienes le temen mas que a nada, a los hombres de los que su madre les ha contado atrocidades. Solo una vez al año estas mujeres dejan su casa para ir al lago y el viaje de este año cambiará sus vidas...En esta historia, la verdad asi como muchas victimas del conflicto es obligada a Salir.",mas tres dias pie medi montañ algun lug colombi viv doñ hermini dos hij exili cre madr jamas hab contact mund exterior viv dos señorit tem mas hombr madr cont atroc sol vez año mujer dej cas ir lag viaj año cambi vid histori verd asi much victim conflict oblig sal
